,id,model,participant,prompt,target,predicted,src
0,motesf_pencil-1175,gpt-emb-text-similarity-babbage-001,motesf202c,pencil,2.4,0.30616831699429337,motesf
1,motesf_pencil-a34b,gpt-emb-text-similarity-babbage-001,motesf7e77,pencil,3.0,0.2520484967890424,motesf
2,motesf_pencil-fd96,gpt-emb-text-similarity-babbage-001,motesff717,pencil,3.3,0.29746824199206356,motesf
3,motesf_pencil-a4d2,gpt-emb-text-similarity-babbage-001,motesf1429,pencil,2.7,0.2871328717746563,motesf
4,motesf_pencil-9b9a,gpt-emb-text-similarity-babbage-001,motesf69ad,pencil,2.4,0.28833135018701295,motesf
5,motesf_pencil-905c,gpt-emb-text-similarity-babbage-001,motesf0777,pencil,2.7,0.24644541141474063,motesf
6,motesf_pencil-c9d9,gpt-emb-text-similarity-babbage-001,motesff90f,pencil,3.6,0.29575958157114235,motesf
7,motesf_pencil-eac0,gpt-emb-text-similarity-babbage-001,motesf8d5e,pencil,1.3,0.16568715257887756,motesf
8,motesf_pencil-a2af,gpt-emb-text-similarity-babbage-001,motesfb2eb,pencil,3.9,0.3050592291953871,motesf
9,motesf_pencil-0845,gpt-emb-text-similarity-babbage-001,motesf1700,pencil,3.9,0.29890374404633324,motesf
10,motesf_pencil-75b2,gpt-emb-text-similarity-babbage-001,motesf6855,pencil,3.0,0.25630440912784547,motesf
11,motesf_pencil-465f,gpt-emb-text-similarity-babbage-001,motesf3dd4,pencil,3.6,0.23913006870475062,motesf
12,motesf_pencil-c3d8,gpt-emb-text-similarity-babbage-001,motesf9188,pencil,3.0,0.251861173400859,motesf
13,motesf_pencil-fbf5,gpt-emb-text-similarity-babbage-001,motesf2b24,pencil,3.0,0.27878267778175825,motesf
14,motesp-g1_pencil-20HL,gpt-emb-text-similarity-babbage-001,20HL,pencil,3.9,0.3104465343099343,motesp
15,motesf_pencil-ab18,gpt-emb-text-similarity-babbage-001,motesf2838,pencil,3.9,0.29304927928481395,motesf
16,motesf_pencil-2bd1,gpt-emb-text-similarity-babbage-001,motesf57ae,pencil,3.3,0.29649439065735117,motesf
17,motesf_pencil-a28c,gpt-emb-text-similarity-babbage-001,motesff4b9,pencil,3.6,0.24994230969464515,motesf
18,motesf_pencil-fd3d,gpt-emb-text-similarity-babbage-001,motesfa4a0,pencil,2.1,0.15702025144424425,motesf
19,motesf_pencil-4ee4,gpt-emb-text-similarity-babbage-001,motesfb83a,pencil,3.3,0.2718613928055381,motesf
20,motesf_pencil-9b19,gpt-emb-text-similarity-babbage-001,motesf6cdd,pencil,2.7,0.20117857718699506,motesf
21,motesf_pencil-b6a3,gpt-emb-text-similarity-babbage-001,motesf6392,pencil,2.7,0.2942297093778683,motesf
22,motesf_pencil-d6ad,gpt-emb-text-similarity-babbage-001,motesfad13,pencil,3.3,0.22856559278018473,motesf
23,motesf_pencil-da2b,gpt-emb-text-similarity-babbage-001,motesf85d8,pencil,2.1,0.3092872855193991,motesf
24,motesf_pencil-8eec,gpt-emb-text-similarity-babbage-001,motesfeb16,pencil,1.3,0.21217607807273786,motesf
25,motesf_pencil-5be7,gpt-emb-text-similarity-babbage-001,motesf8216,pencil,3.0,0.25824916470429404,motesf
26,motesf_pencil-e57f,gpt-emb-text-similarity-babbage-001,motesf82aa,pencil,3.6,0.2973363792021687,motesf
27,motesf_pencil-1274,gpt-emb-text-similarity-babbage-001,motesf43ec,pencil,4.1,0.2799174786466635,motesf
28,motesf_pencil-d85c,gpt-emb-text-similarity-babbage-001,motesfc058,pencil,3.3,0.27179059054900245,motesf
29,motesf_pencil-08ce,gpt-emb-text-similarity-babbage-001,motesf819f,pencil,3.0,0.24848366120876497,motesf
30,motesp-g1_pencil-14ML,gpt-emb-text-similarity-babbage-001,14ML,pencil,2.8,0.23981228934214904,motesp
31,motesf_pencil-f53e,gpt-emb-text-similarity-babbage-001,motesf1ff1,pencil,2.7,0.2567758078173409,motesf
32,motesf_pencil-619b,gpt-emb-text-similarity-babbage-001,motesfa597,pencil,3.6,0.2505121110209936,motesf
33,motesf_pencil-54ca,gpt-emb-text-similarity-babbage-001,motesfc5ff,pencil,4.1,0.2935516962902084,motesf
34,motesp-g1_pencil-31MB,gpt-emb-text-similarity-babbage-001,31MB,pencil,4.3,0.21343779501464444,motesp
35,motesf_pencil-9255,gpt-emb-text-similarity-babbage-001,motesffe13,pencil,3.0,0.2717876629679655,motesf
36,motesf_pencil-12a1,gpt-emb-text-similarity-babbage-001,motesf158f,pencil,1.3,0.22574964830204447,motesf
37,motesf_pencil-cfb4,gpt-emb-text-similarity-babbage-001,motesfa1d0,pencil,2.7,0.2072045769039237,motesf
38,motesf_pencil-4ba4,gpt-emb-text-similarity-babbage-001,motesf2665,pencil,1.3,0.2044283737851187,motesf
39,motesf_pencil-5607,gpt-emb-text-similarity-babbage-001,motesf7588,pencil,4.1,0.24135320102635527,motesf
40,motesf_pencil-cf8e,gpt-emb-text-similarity-babbage-001,motesf077e,pencil,1.9,0.18864070993831417,motesf
41,motesf_pencil-8d1d,gpt-emb-text-similarity-babbage-001,motesff718,pencil,2.1,0.2486489714085538,motesf
42,motesf_pencil-1ec8,gpt-emb-text-similarity-babbage-001,motesfffd5,pencil,3.0,0.16043233666905643,motesf
