,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
0,snbmo09_knife-6f1a,SemDis_TASA_nf_m,snbmo09189,knife,2.5,1.03269,snbmo09,gt_main2,What is a surprising use for a KNIFE?,put it under a door to see what's on the other side,5
1,snbmo09_knife-9633,SemDis_TASA_nf_m,snbmo09154,knife,2.2,0.99365,snbmo09,gt_main2,What is a surprising use for a KNIFE?,roller coaster,3
2,setal08_knife-c3ad,SemDis_TASA_nf_m,setal08104,knife,2.3,1.10381,setal08,gt_main2,What is a surprising use for a KNIFE?,flag holder,4.0
3,hmsl_brick-1473,SemDis_TASA_nf_m,hmsl4evEspH2,brick,1.3,1.00166,hmsl,gt_main2,What is a surprising use for a BRICK?,making fence,4.0
4,bs12_brick-6922,SemDis_TASA_nf_m,bs12109,brick,1.4,0.90841,bs12,gt_main2,What is a surprising use for a BRICK?,Play tag,
5,setal08_knife-2f81,SemDis_TASA_nf_m,setal08117,knife,2.7,1.02498,setal08,gt_main2,What is a surprising use for a KNIFE?,Russian game where try to stab between fingers quickly,3.0
6,hmsl_brick-9a17,SemDis_TASA_nf_m,hmslB8x6J8Cu,brick,1.0,0.71983,hmsl,gt_main2,What is a surprising use for a BRICK?,Patio pavers,1.0
7,snbmo09_box-a04f,SemDis_TASA_nf_m,snbmo0961,box,1.5,1.02038,snbmo09,gt_main2,What is a surprising use for a BOX?,sit on it,11
8,snbmo09_brick-9416,SemDis_TASA_nf_m,snbmo0959,brick,2.0,0.98874,snbmo09,gt_main2,What is a surprising use for a BRICK?,anvil,6
9,snbmo09_box-7cd7,SemDis_TASA_nf_m,snbmo09104,box,2.0,0.9056,snbmo09,gt_main2,What is a surprising use for a BOX?,a door,5
10,dod20_tire-75d1,SemDis_TASA_nf_m,dod2080,tire,3.2,0.69118,dod20,gt_main2,What is a surprising use for a TIRE?,as a seat,2
11,motesf_spoon-210b,SemDis_TASA_nf_m,motesf274a,spoon,3.6,1.00911,motesf,gt_main2,What is a surprising use for a SPOON?,make a house with it,7
12,snb17_rope-4d7b,SemDis_TASA_nf_m,snb1760,rope,1.0,0.91552,snb17,gt_main2,What is a surprising use for a ROPE?,use for clothing,
13,motesf_spoon-6453,SemDis_TASA_nf_m,motesf67c6,spoon,2.4,0.96137,motesf,gt_main2,What is a surprising use for a SPOON?,Use it to dig through the ground.,1
