,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
0,snbmo09_knife-6f1a,SemDis_glove_nf_m,snbmo09189,knife,2.5,1.21491,snbmo09,gt_main2,What is a surprising use for a KNIFE?,put it under a door to see what's on the other side,5
1,snbmo09_knife-9633,SemDis_glove_nf_m,snbmo09154,knife,2.2,0.95963,snbmo09,gt_main2,What is a surprising use for a KNIFE?,roller coaster,3
2,setal08_knife-c3ad,SemDis_glove_nf_m,setal08104,knife,2.3,1.10243,setal08,gt_main2,What is a surprising use for a KNIFE?,flag holder,4.0
3,hmsl_brick-1473,SemDis_glove_nf_m,hmsl4evEspH2,brick,1.3,1.14582,hmsl,gt_main2,What is a surprising use for a BRICK?,making fence,4.0
4,bs12_brick-6922,SemDis_glove_nf_m,bs12109,brick,1.4,1.01254,bs12,gt_main2,What is a surprising use for a BRICK?,Play tag,
5,setal08_knife-2f81,SemDis_glove_nf_m,setal08117,knife,2.7,1.20094,setal08,gt_main2,What is a surprising use for a KNIFE?,Russian game where try to stab between fingers quickly,3.0
6,hmsl_brick-9a17,SemDis_glove_nf_m,hmslB8x6J8Cu,brick,1.0,0.93581,hmsl,gt_main2,What is a surprising use for a BRICK?,Patio pavers,1.0
7,snbmo09_box-a04f,SemDis_glove_nf_m,snbmo0961,box,1.5,0.79483,snbmo09,gt_main2,What is a surprising use for a BOX?,sit on it,11
8,snbmo09_brick-9416,SemDis_glove_nf_m,snbmo0959,brick,2.0,0.90447,snbmo09,gt_main2,What is a surprising use for a BRICK?,anvil,6
9,snbmo09_box-7cd7,SemDis_glove_nf_m,snbmo09104,box,2.0,0.6039,snbmo09,gt_main2,What is a surprising use for a BOX?,a door,5
10,dod20_tire-75d1,SemDis_glove_nf_m,dod2080,tire,3.2,0.79614,dod20,gt_main2,What is a surprising use for a TIRE?,as a seat,2
11,motesf_spoon-210b,SemDis_glove_nf_m,motesf274a,spoon,3.6,1.02725,motesf,gt_main2,What is a surprising use for a SPOON?,make a house with it,7
12,snb17_rope-4d7b,SemDis_glove_nf_m,snb1760,rope,1.0,1.09972,snb17,gt_main2,What is a surprising use for a ROPE?,use for clothing,
13,motesf_spoon-6453,SemDis_glove_nf_m,motesf67c6,spoon,2.4,0.93203,motesf,gt_main2,What is a surprising use for a SPOON?,Use it to dig through the ground.,1
14,setal08_knife-2181,SemDis_glove_nf_m,setal08215,knife,1.0,0.8098,setal08,gt_main2,What is a surprising use for a KNIFE?,chop up various things,10.0
15,setal08_brick-2840,SemDis_glove_nf_m,setal08113,brick,1.3,1.1232,setal08,gt_main2,What is a surprising use for a BRICK?,platform for something,8.0
16,hmsl_paperclip-9b33,SemDis_glove_nf_m,hmslmmD57gcr,paperclip,2.0,1.5151400000000002,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,put cloth together ,4.0
